zip,place_name,state,lat,lon
01702,Framingham,MA,42.2822,-71.4339
01720,Acton,MA,42.4751,-71.4483
01749,Hudson,MA,42.3918,-71.5609
01760,Natick,MA,42.2875,-71.3574
01775,Stow,MA,42.4308,-71.515
01801,Woburn,MA,42.4829,-71.1574
01821,Billerica,MA,42.5519,-71.2518
01852,Lowell,MA,42.6344,-71.2983
01863,North Chelmsford,MA,42.6347,-71.3908
01867,Reading,MA,42.528,-71.109
01887,Wilmington,MA,42.5581,-71.1723
01904,Lynn,MA,42.4889,-70.9647
01905,Lynn,MA,42.4694,-70.9728
01960,Peabody,MA,42.5326,-70.9612
01970,Salem,MA,42.5151,-70.9003
02108,Boston,MA,42.3576,-71.0684
02110,Boston,MA,42.3576,-71.0514
02115,Boston,MA,42.3427,-71.0922
02118,Boston,MA,42.3362,-71.0729
02120,Roxbury Crossing,MA,42.3307,-71.0912
02121,Dorchester,MA,42.2973,-71.0745
02124,Dorchester Center,MA,42.2918,-71.0717
02125,Dorchester,MA,42.2973,-71.0745
02126,Mattapan,MA,42.2739,-71.0939
02128,Boston,MA,42.3642,-71.0257
02129,Charlestown,MA,42.3778,-71.0627
02132,West Roxbury,MA,42.2787,-71.1589
02136,Hyde Park,MA,42.254,-71.1261
02138,Cambridge,MA,42.377,-71.1256
02140,Cambridge,MA,42.3932,-71.1338
02143,Somerville,MA,42.3829,-71.1028
02149,Everett,MA,42.4112,-71.0514
02150,Chelsea,MA,42.3963,-71.0325
02151,Revere,MA,42.4138,-71.0052
02152,Winthrop,MA,42.3763,-70.98
02180,Stoneham,MA,42.4828,-71.0978
02451,Waltham,MA,42.3986,-71.2451
02453,Waltham,MA,42.3654,-71.2317
02458,Newton,MA,42.3528,-71.1875
02472,Watertown,MA,42.37,-71.1773
02481,Wellesley Hills,MA,42.3106,-71.2747
02492,Needham,MA,42.2798,-71.2501
02494,Needham Heights,MA,42.2945,-71.2328
07001,Avenel,NJ,40.5826,-74.2785
07002,Bayonne,NJ,40.6664,-74.1192
07003,Bloomfield,NJ,40.8035,-74.1891
07006,Caldwell,NJ,40.8545,-74.2789
07008,Carteret,NJ,40.5823,-74.2313
07010,Cliffside Park,NJ,40.8222,-73.988
07011,Clifton,NJ,40.8789,-74.1425
07018,East Orange,NJ,40.7558,-74.2198
07022,Fairview,NJ,40.817,-74.0
07026,Garfield,NJ,40.8789,-74.1081
07029,Harrison,NJ,40.7445,-74.1508
07030,Hoboken,NJ,40.7445,-74.0329
07031,North Arlington,NJ,40.7898,-74.1343
07032,Kearny,NJ,40.7647,-74.1471
07036,Linden,NJ,40.6354,-74.2556
07042,Montclair,NJ,40.8131,-74.2165
07047,North Bergen,NJ,40.7939,-74.0258
07050,Orange,NJ,40.7692,-74.2355
07052,West Orange,NJ,40.7859,-74.2568
07054,Parsippany,NJ,40.8621,-74.4117
07055,Passaic,NJ,40.8601,-74.1283
07060,Plainfield,NJ,40.6152,-74.415
07063,Plainfield,NJ,40.6048,-74.4427
07065,Rahway,NJ,40.6087,-74.2819
07067,Colonia,NJ,40.5937,-74.3164
07071,Lyndhurst,NJ,40.8094,-74.1245
07079,South Orange,NJ,40.7465,-74.2575
07080,South Plainfield,NJ,40.5839,-74.4147
07081,Springfield,NJ,40.7015,-74.3227
07083,Union,NJ,40.6952,-74.2677
07093,West New York,NJ,40.7888,-74.0115
07103,Newark,NJ,40.737,-74.1964
07104,Newark,NJ,40.7664,-74.1695
07105,Newark,NJ,40.7271,-74.1563
07107,Newark,NJ,40.7607,-74.1882
07108,Newark,NJ,40.7236,-74.2015
07110,Nutley,NJ,40.8185,-74.1589
07112,Newark,NJ,40.7107,-74.2131
07201,Elizabeth,NJ,40.6717,-74.2043
07202,Elizabeth,NJ,40.6565,-74.2215
07204,Roselle Park,NJ,40.6651,-74.267
07208,Elizabeth,NJ,40.6747,-74.2239
07302,Jersey City,NJ,40.7221,-74.0469
07303,Jersey City,NJ,40.7328,-74.0755
07304,Jersey City,NJ,40.718,-74.0754
07305,Jersey City,NJ,40.702,-74.089
07306,Jersey City,NJ,40.7321,-74.066
07307,Jersey City,NJ,40.7482,-74.0498
07310,Jersey City,NJ,40.7324,-74.0431
07401,Allendale,NJ,41.0327,-74.1342
07410,Fair Lawn,NJ,40.9343,-74.1166
07417,Franklin Lakes,NJ,41.0081,-74.2113
07430,Mahwah,NJ,41.0817,-74.1861
07450,Ridgewood,NJ,40.982,-74.1131
07458,Saddle River,NJ,41.0443,-74.0981
07470,Wayne,NJ,40.9471,-74.2466
07501,Paterson,NJ,40.9143,-74.1671
07502,Paterson,NJ,40.9199,-74.1932
07503,Paterson,NJ,40.897,-74.1573
07504,Paterson,NJ,40.9122,-74.1452
07505,Paterson,NJ,40.9166,-74.174
07506,Hawthorne,NJ,40.9564,-74.1569
07508,Haledon,NJ,40.9457,-74.1826
07514,Paterson,NJ,40.9248,-74.1467
07522,Paterson,NJ,40.9252,-74.1781
07524,Paterson,NJ,40.9309,-74.1555
07603,Bogota,NJ,40.8744,-74.0281
07605,Leonia,NJ,40.8629,-73.9879
07628,Dumont,NJ,40.9447,-73.9921
07642,Hillsdale,NJ,41.0069,-74.0426
07644,Lodi,NJ,40.8764,-74.0838
07650,Palisades Park,NJ,40.8462,-73.9954
07666,Teaneck,NJ,40.8915,-74.0119
07676,Township Of Washington,NJ,40.9883,-74.0635
07712,Asbury Park,NJ,40.2507,-74.0486
07726,Englishtown,NJ,40.2825,-74.3424
07728,Freehold,NJ,40.2458,-74.2768
07731,Howell,NJ,40.1481,-74.2137
07735,Keyport,NJ,40.4332,-74.1996
07740,Long Branch,NJ,40.2992,-73.9912
07747,Matawan,NJ,40.4109,-74.238
07748,Middletown,NJ,40.3944,-74.1157
07751,Morganville,NJ,40.3529,-74.2779
07757,Oceanport,NJ,40.3157,-74.0164
07760,Rumson,NJ,40.3707,-74.0084
07834,Denville,NJ,40.8897,-74.4844
07842,Hibernia,NJ,40.944,-74.4927
07920,Basking Ridge,NJ,40.6789,-74.5605
07922,Berkeley Heights,NJ,40.6752,-74.4346
07928,Chatham,NJ,40.7305,-74.4017
07936,East Hanover,NJ,40.8192,-74.3636
07950,Morris Plains,NJ,40.8445,-74.4824
07981,Whippany,NJ,40.8219,-74.42
08002,Cherry Hill,NJ,39.9308,-75.0175
08003,Cherry Hill,NJ,39.8805,-74.9706
08012,Blackwood,NJ,39.7901,-75.0367
08021,Clementon,NJ,39.8036,-75.0058
08027,Gibbstown,NJ,39.8231,-75.2751
08028,Glassboro,NJ,39.7068,-75.1172
08049,Magnolia,NJ,39.8538,-75.0393
08052,Maple Shade,NJ,39.9511,-74.9946
08054,Mount Laurel,NJ,39.9478,-74.9036
08055,Medford,NJ,39.8637,-74.8223
08062,Mullica Hill,NJ,39.7252,-75.2065
